sentence,entities
অর্ডার নং অর্ডার-7239 এর জন্য টিআরএক্স-141322 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7239', 'trnx': 'টিআরএক্স-141322'}"
তানভীর আহমেদ এর ইনভার্টার অর্ডার অর্ডার-3353 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'ইনভার্টার', 'orderno': 'অর্ডার-3353'}"
"রহিম আহমেদ 05/03/2024 তারিখে মোহাম্মদপুর, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'রহিম আহমেদ', 'date': '05/03/2024', 'address': 'মোহাম্মদপুর, ঢাকা'}"
কাস্টমার আইডি আইডি-27946 এর ০১৮28836658 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-27946', 'phoneno': '০১৮28836658'}"
গ্রাহক আইডি-45158 টিআরএক্স-853221 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-45158', 'trnx': 'টিআরএক্স-853221'}"
অর্ডার নং অর্ডার-3415 এর জন্য টিআরএক্স-547088 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-3415', 'trnx': 'টিআরএক্স-547088'}"
কাস্টমার আইডি আইডি-77924 এর ০১৪11783026 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-77924', 'phoneno': '০১৪11783026'}"
সনি এর নতুন স্মার্টওয়াচ এর দাম জানতে ০১৯77641624 নম্বরে কল করুন।,"{'brandname': 'সনি', 'productname': 'স্মার্টওয়াচ', 'phoneno': '০১৯77641624'}"
পাঠক সমাবেশ থেকে রহস্য বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'পাঠক সমাবেশ', 'categoryname': 'রহস্য'}"
এলজি এর ভ্রমণ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'এলজি', 'categoryname': 'ভ্রমণ'}"
কাস্টমার আইডি আইডি-70360 এর ০১৯40578880 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-70360', 'phoneno': '০১৯40578880'}"
"ফাতেমা বেগম 03/09/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'ফাতেমা বেগম', 'date': '03/09/2024', 'address': 'রামপুরা, ঢাকা'}"
গ্রাহক আইডি-70866 টিআরএক্স-924853 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-70866', 'trnx': 'টিআরএক্স-924853'}"
কাস্টমার আইডি আইডি-71903 এর ০১৫12359974 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-71903', 'phoneno': '০১৫12359974'}"
"ফাতেমা বেগম শান্তিনগর, ঢাকা থেকে ল্যাপটপ কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'ল্যাপটপ'}"
নাসরিন সুলতানা সম্প্রতি হিমু বইটি কিনেছেন।,"{'username': 'নাসরিন সুলতানা', 'bookname': 'হিমু'}"
কাস্টমার আইডি আইডি-63237 এর ০১৩37033188 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-63237', 'phoneno': '০১৩37033188'}"
আমিনা খাতুন এর এসি অর্ডার অর্ডার-6400 প্রস্তুত।,"{'username': 'আমিনা খাতুন', 'productname': 'এসি', 'orderno': 'অর্ডার-6400'}"
আমিনা খাতুন এর মাইক্রোওয়েভ অভেন অর্ডার অর্ডার-2127 প্রস্তুত।,"{'username': 'আমিনা খাতুন', 'productname': 'মাইক্রোওয়েভ অভেন', 'orderno': 'অর্ডার-2127'}"
টশিবা এর নতুন মাইক্রোওয়েভ অভেন এর দাম জানতে ০১৪31107785 নম্বরে কল করুন।,"{'brandname': 'টশিবা', 'productname': 'মাইক্রোওয়েভ অভেন', 'phoneno': '০১৪31107785'}"
"শরৎচন্দ্র চট্টোপাধ্যায় এর গল্প বইগুলি এখন পূর্বাচল, ঢাকা এ পাওয়া যাবে।","{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'categoryname': 'গল্প', 'address': 'পূর্বাচল, ঢাকা'}"
জামিল হোসেন এর এসি অর্ডার অর্ডার-3987 প্রস্তুত।,"{'username': 'জামিল হোসেন', 'productname': 'এসি', 'orderno': 'অর্ডার-3987'}"
হাইয়ার এর নতুন ল্যাপটপ এর দাম জানতে ০১৭80543756 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'ল্যাপটপ', 'phoneno': '০১৭80543756'}"
আহসান হাবীব এর নতুন বই হিমু এর প্রি-অর্ডার অর্ডার-9891 চলছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'হিমু', 'orderno': 'অর্ডার-9891'}"
বেগম রোকেয়া এর নতুন বই শঙ্খনীল কারাগার এর প্রি-অর্ডার অর্ডার-6093 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'শঙ্খনীল কারাগার', 'orderno': 'অর্ডার-6093'}"
অর্ডার নং অর্ডার-7848 এর জন্য টিআরএক্স-708063 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7848', 'trnx': 'টিআরএক্স-708063'}"
"রহিম আহমেদ বারিধারা, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'বারিধারা, ঢাকা', 'productname': 'ট্যাবলেট'}"
কাস্টমার আইডি আইডি-20299 এর ০১৪17293930 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-20299', 'phoneno': '০১৪17293930'}"
গ্রাহক আইডি-25526 টিআরএক্স-419789 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-25526', 'trnx': 'টিআরএক্স-419789'}"
হুয়াওয়ে এর নতুন এসি এর দাম জানতে ০১৩20088545 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'এসি', 'phoneno': '০১৩20088545'}"
হুমায়ূন আহমেদ এর নতুন বই চাঁদের অমাবস্যা এর প্রি-অর্ডার অর্ডার-1763 চলছে।,"{'authorname': 'হুমায়ূন আহমেদ', 'bookname': 'চাঁদের অমাবস্যা', 'orderno': 'অর্ডার-1763'}"
অর্ডার নং অর্ডার-5549 এর জন্য টিআরএক্স-836368 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-5549', 'trnx': 'টিআরএক্স-836368'}"
সুফিয়া কামাল এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-9246 চলছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-9246'}"
"আমিনা খাতুন 05/11/2024 তারিখে ধানমন্ডি, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'আমিনা খাতুন', 'date': '05/11/2024', 'address': 'ধানমন্ডি, ঢাকা'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর লেখা হিমু বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'হিমু', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
রবীন্দ্রনাথ ঠাকুর এর লেখা পদ্মা নদীর মাঝি বইটি বাংলা একাডেমী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'বাংলা একাডেমী'}"
"জাহিদ হাসান 30/11/2024 তারিখে মোহাম্মদপুর, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '30/11/2024', 'address': 'মোহাম্মদপুর, ঢাকা'}"
কাস্টমার আইডি আইডি-69995 এর ০১৪14057323 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-69995', 'phoneno': '০১৪14057323'}"
গ্রাহক আইডি-46644 টিআরএক্স-200167 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-46644', 'trnx': 'টিআরএক্স-200167'}"
নাজমুল হক সম্প্রতি আগুনের পরশমণি বইটি কিনেছেন।,"{'username': 'নাজমুল হক', 'bookname': 'আগুনের পরশমণি'}"
হুয়াওয়ে এর ইতিহাস পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হুয়াওয়ে', 'categoryname': 'ইতিহাস'}"
"তানভীর আহমেদ 22/03/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '22/03/2024', 'address': 'উত্তরা, ঢাকা'}"
কাস্টমার আইডি আইডি-60565 এর ০১৭23186337 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-60565', 'phoneno': '০১৭23186337'}"
শাওমি এর রহস্য পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'শাওমি', 'categoryname': 'রহস্য'}"
তানভীর আহমেদ এর ল্যাপটপ অর্ডার অর্ডার-4815 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-4815'}"
রহিম আহমেদ এর ল্যাপটপ অর্ডার অর্ডার-9960 প্রস্তুত।,"{'username': 'রহিম আহমেদ', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-9960'}"
হুয়াওয়ে এর আত্মজীবনী পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হুয়াওয়ে', 'categoryname': 'আত্মজীবনী'}"
17/01/2024 তারিখে অর্ডার-5624 অর্ডারটি ০১৩31471838 নম্বরে ডেলিভারি হবে।,"{'date': '17/01/2024', 'orderno': 'অর্ডার-5624', 'phoneno': '০১৩31471838'}"
"আহসান হাবীব এর ভ্রমণ বইগুলি এখন বারিধারা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'ভ্রমণ', 'address': 'বারিধারা, ঢাকা'}"
কাজী নজরুল ইসলাম এর নতুন বই পদ্মা নদীর মাঝি এর প্রি-অর্ডার অর্ডার-4658 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'পদ্মা নদীর মাঝি', 'orderno': 'অর্ডার-4658'}"
সামসাং এর নতুন টেলিভিশন এর দাম জানতে ০১৭21190444 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'টেলিভিশন', 'phoneno': '০১৭21190444'}"
আহসান হাবীব এর লেখা পদ্মা নদীর মাঝি বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'অনন্য প্রকাশন'}"
আহসান হাবীব এর লেখা লাল সবুজ বইটি আদর্শ প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'লাল সবুজ', 'publishername': 'আদর্শ প্রকাশন'}"
25/04/2024 তারিখে অর্ডার-3989 অর্ডারটি ০১৩90231735 নম্বরে ডেলিভারি হবে।,"{'date': '25/04/2024', 'orderno': 'অর্ডার-3989', 'phoneno': '০১৩90231735'}"
হুমায়ূন আহমেদ এর নতুন বই সীমানা ছাড়িয়ে এর প্রি-অর্ডার অর্ডার-4964 চলছে।,"{'authorname': 'হুমায়ূন আহমেদ', 'bookname': 'সীমানা ছাড়িয়ে', 'orderno': 'অর্ডার-4964'}"
"রহিম আহমেদ বনানী, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'বনানী, ঢাকা', 'productname': 'টেলিভিশন'}"
জসীমউদ্দীন এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-4232 চলছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-4232'}"
অর্ডার নং অর্ডার-9775 এর জন্য টিআরএক্স-255429 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-9775', 'trnx': 'টিআরএক্স-255429'}"
নাসরিন সুলতানা এর এসি অর্ডার অর্ডার-5944 প্রস্তুত।,"{'username': 'নাসরিন সুলতানা', 'productname': 'এসি', 'orderno': 'অর্ডার-5944'}"
"নাসরিন সুলতানা 12/06/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাসরিন সুলতানা', 'date': '12/06/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
"জামিল হোসেন মোহাম্মদপুর, ঢাকা থেকে ইনভার্টার কিনেছেন।","{'username': 'জামিল হোসেন', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'ইনভার্টার'}"
করিম খান সম্প্রতি হিমু বইটি কিনেছেন।,"{'username': 'করিম খান', 'bookname': 'হিমু'}"
জসীমউদ্দীন এর লেখা দেয়াল বইটি আদর্শ প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'দেয়াল', 'publishername': 'আদর্শ প্রকাশন'}"
"হুমায়ূন আহমেদ এর বিজ্ঞান বইগুলি এখন মোহাম্মদপুর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'হুমায়ূন আহমেদ', 'categoryname': 'বিজ্ঞান', 'address': 'মোহাম্মদপুর, ঢাকা'}"
গ্রাহক আইডি-66597 টিআরএক্স-173916 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-66597', 'trnx': 'টিআরএক্স-173916'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-2300 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-2300'}"
"আমিনা খাতুন 06/04/2024 তারিখে পূর্বাচল, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'আমিনা খাতুন', 'date': '06/04/2024', 'address': 'পূর্বাচল, ঢাকা'}"
গ্রাহক আইডি-27357 টিআরএক্স-553809 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-27357', 'trnx': 'টিআরএক্স-553809'}"
"রবীন্দ্রনাথ ঠাকুর এর আত্মজীবনী বইগুলি এখন ধানমন্ডি, ঢাকা এ পাওয়া যাবে।","{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'categoryname': 'আত্মজীবনী', 'address': 'ধানমন্ডি, ঢাকা'}"
শাওমি এর নতুন ফ্রিজ এর দাম জানতে ০১৫16830267 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'ফ্রিজ', 'phoneno': '০১৫16830267'}"
"জাহিদ হাসান মোহাম্মদপুর, ঢাকা থেকে ওয়াশিং মেশিন কিনেছেন।","{'username': 'জাহিদ হাসান', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'ওয়াশিং মেশিন'}"
22/07/2024 তারিখে অর্ডার-8202 অর্ডারটি ০১৪93008439 নম্বরে ডেলিভারি হবে।,"{'date': '22/07/2024', 'orderno': 'অর্ডার-8202', 'phoneno': '০১৪93008439'}"
"নাজমুল হক 26/08/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাজমুল হক', 'date': '26/08/2024', 'address': 'রামপুরা, ঢাকা'}"
"নাজমুল হক উত্তরা, ঢাকা থেকে এসি কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'উত্তরা, ঢাকা', 'productname': 'এসি'}"
27/06/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '27/06/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
জাহিদ হাসান এর ল্যাপটপ অর্ডার অর্ডার-3873 প্রস্তুত।,"{'username': 'জাহিদ হাসান', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-3873'}"
করিম খান এর ট্যাবলেট অর্ডার অর্ডার-2972 প্রস্তুত।,"{'username': 'করিম খান', 'productname': 'ট্যাবলেট', 'orderno': 'অর্ডার-2972'}"
"ফাতেমা বেগম বনানী, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'বনানী, ঢাকা', 'productname': 'ট্যাবলেট'}"
রবীন্দ্রনাথ ঠাকুর এর নতুন বই দেয়াল এর প্রি-অর্ডার অর্ডার-8602 চলছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'দেয়াল', 'orderno': 'অর্ডার-8602'}"
"সুফিয়া কামাল এর গল্প বইগুলি এখন বনানী, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'গল্প', 'address': 'বনানী, ঢাকা'}"
"সাদিয়া আক্তার 28/11/2024 তারিখে বনানী, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'সাদিয়া আক্তার', 'date': '28/11/2024', 'address': 'বনানী, ঢাকা'}"
20/02/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '20/02/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
"নাসরিন সুলতানা রামপুরা, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'নাসরিন সুলতানা', 'address': 'রামপুরা, ঢাকা', 'productname': 'টেলিভিশন'}"
10/01/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '10/01/2024', 'publishername': 'বাংলা একাডেমী'}"
সনি এর ভ্রমণ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সনি', 'categoryname': 'ভ্রমণ'}"
কাস্টমার আইডি আইডি-40351 এর ০১৩84663264 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-40351', 'phoneno': '০১৩84663264'}"
16/09/2024 তারিখে অর্ডার-7240 অর্ডারটি ০১৯63375396 নম্বরে ডেলিভারি হবে।,"{'date': '16/09/2024', 'orderno': 'অর্ডার-7240', 'phoneno': '০১৯63375396'}"
কাস্টমার আইডি আইডি-24130 এর ০১৫11106845 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-24130', 'phoneno': '০১৫11106845'}"
"করিম খান 18/06/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '18/06/2024', 'address': 'রামপুরা, ঢাকা'}"
"জাহিদ হাসান মিরপুর-১০, ঢাকা থেকে স্মার্টওয়াচ কিনেছেন।","{'username': 'জাহিদ হাসান', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'স্মার্টওয়াচ'}"
"সাদিয়া আক্তার 27/09/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'সাদিয়া আক্তার', 'date': '27/09/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
"নাসরিন সুলতানা 21/06/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাসরিন সুলতানা', 'date': '21/06/2024', 'address': 'উত্তরা, ঢাকা'}"
ওয়ালটন এর নতুন ল্যাপটপ এর দাম জানতে ০১৪50974081 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'ল্যাপটপ', 'phoneno': '০১৪50974081'}"
জামিল হোসেন এর টেলিভিশন অর্ডার অর্ডার-1028 প্রস্তুত।,"{'username': 'জামিল হোসেন', 'productname': 'টেলিভিশন', 'orderno': 'অর্ডার-1028'}"
কাজী নজরুল ইসলাম এর লেখা পদ্মা নদীর মাঝি বইটি জ্ঞানকোষ প্রকাশনী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
18/06/2024 তারিখে অর্ডার-9050 অর্ডারটি ০১৬11901911 নম্বরে ডেলিভারি হবে।,"{'date': '18/06/2024', 'orderno': 'অর্ডার-9050', 'phoneno': '০১৬11901911'}"
কাস্টমার আইডি আইডি-22398 এর ০১৭62920134 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-22398', 'phoneno': '০১৭62920134'}"
শাওমি এর নতুন এসি এর দাম জানতে ০১৬88186457 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'এসি', 'phoneno': '০১৬88186457'}"
27/03/2024 থেকে নলেজ হাউস এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '27/03/2024', 'publishername': 'নলেজ হাউস'}"
তানভীর আহমেদ এর স্মার্ট ফোন অর্ডার অর্ডার-6017 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'স্মার্ট ফোন', 'orderno': 'অর্ডার-6017'}"
02/03/2024 থেকে বিশ্বসাহিত্য কেন্দ্র এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '02/03/2024', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
কাস্টমার আইডি আইডি-15477 এর ০১৮56022981 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-15477', 'phoneno': '০১৮56022981'}"
11/10/2024 থেকে সাহিত্য প্রকাশ এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '11/10/2024', 'publishername': 'সাহিত্য প্রকাশ'}"
08/11/2024 তারিখে অর্ডার-7349 অর্ডারটি ০১৪74001140 নম্বরে ডেলিভারি হবে।,"{'date': '08/11/2024', 'orderno': 'অর্ডার-7349', 'phoneno': '০১৪74001140'}"
সামসাং এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৪70730377 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৪70730377'}"
"শরৎচন্দ্র চট্টোপাধ্যায় এর আত্মজীবনী বইগুলি এখন বারিধারা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'categoryname': 'আত্মজীবনী', 'address': 'বারিধারা, ঢাকা'}"
বেগম রোকেয়া এর নতুন বই দেয়াল এর প্রি-অর্ডার অর্ডার-7712 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'দেয়াল', 'orderno': 'অর্ডার-7712'}"
অর্ডার নং অর্ডার-6592 এর জন্য টিআরএক্স-291203 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-6592', 'trnx': 'টিআরএক্স-291203'}"
টশিবা এর ভ্রমণ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'টশিবা', 'categoryname': 'ভ্রমণ'}"
"জামিল হোসেন বনানী, ঢাকা থেকে ওয়াশিং মেশিন কিনেছেন।","{'username': 'জামিল হোসেন', 'address': 'বনানী, ঢাকা', 'productname': 'ওয়াশিং মেশিন'}"
"তানভীর আহমেদ উত্তরা, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'তানভীর আহমেদ', 'address': 'উত্তরা, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
"নাজমুল হক 20/03/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাজমুল হক', 'date': '20/03/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
"আমিনা খাতুন পূর্বাচল, ঢাকা থেকে ইনভার্টার কিনেছেন।","{'username': 'আমিনা খাতুন', 'address': 'পূর্বাচল, ঢাকা', 'productname': 'ইনভার্টার'}"
সনি এর নতুন এসি এর দাম জানতে ০১৪13640645 নম্বরে কল করুন।,"{'brandname': 'সনি', 'productname': 'এসি', 'phoneno': '০১৪13640645'}"
11/07/2024 তারিখে অর্ডার-1717 অর্ডারটি ০১৬73275869 নম্বরে ডেলিভারি হবে।,"{'date': '11/07/2024', 'orderno': 'অর্ডার-1717', 'phoneno': '০১৬73275869'}"
গ্রাহক আইডি-84960 টিআরএক্স-467388 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-84960', 'trnx': 'টিআরএক্স-467388'}"
22/05/2024 তারিখে অর্ডার-8459 অর্ডারটি ০১৫29316538 নম্বরে ডেলিভারি হবে।,"{'date': '22/05/2024', 'orderno': 'অর্ডার-8459', 'phoneno': '০১৫29316538'}"
রবীন্দ্রনাথ ঠাকুর এর লেখা শঙ্খনীল কারাগার বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'শঙ্খনীল কারাগার', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
সুফিয়া কামাল এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-3591 চলছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-3591'}"
সৈয়দ শামসুল হক এর নতুন বই সীমানা ছাড়িয়ে এর প্রি-অর্ডার অর্ডার-3578 চলছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'সীমানা ছাড়িয়ে', 'orderno': 'অর্ডার-3578'}"
জামিল হোসেন এর ইনভার্টার অর্ডার অর্ডার-7052 প্রস্তুত।,"{'username': 'জামিল হোসেন', 'productname': 'ইনভার্টার', 'orderno': 'অর্ডার-7052'}"
নাসরিন সুলতানা এর টেলিভিশন অর্ডার অর্ডার-1556 প্রস্তুত।,"{'username': 'নাসরিন সুলতানা', 'productname': 'টেলিভিশন', 'orderno': 'অর্ডার-1556'}"
মাওলা ব্রাদার্স থেকে জীবনী বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'মাওলা ব্রাদার্স', 'categoryname': 'জীবনী'}"
17/12/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '17/12/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
নাসরিন সুলতানা সম্প্রতি দেয়াল বইটি কিনেছেন।,"{'username': 'নাসরিন সুলতানা', 'bookname': 'দেয়াল'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর লেখা পদ্মা নদীর মাঝি বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
অর্ডার নং অর্ডার-7783 এর জন্য টিআরএক্স-749860 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7783', 'trnx': 'টিআরএক্স-749860'}"
সামসাং এর ভ্রমণ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সামসাং', 'categoryname': 'ভ্রমণ'}"
09/02/2024 তারিখে অর্ডার-4764 অর্ডারটি ০১৩46499947 নম্বরে ডেলিভারি হবে।,"{'date': '09/02/2024', 'orderno': 'অর্ডার-4764', 'phoneno': '০১৩46499947'}"
আহসান হাবীব এর লেখা আগুনের পরশমণি বইটি পাঠক সমাবেশ থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'আগুনের পরশমণি', 'publishername': 'পাঠক সমাবেশ'}"
06/02/2024 থেকে অনন্য প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '06/02/2024', 'publishername': 'অনন্য প্রকাশন'}"
"বেগম রোকেয়া এর গল্প বইগুলি এখন উত্তরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'বেগম রোকেয়া', 'categoryname': 'গল্প', 'address': 'উত্তরা, ঢাকা'}"
"নাসরিন সুলতানা 14/04/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাসরিন সুলতানা', 'date': '14/04/2024', 'address': 'রামপুরা, ঢাকা'}"
"জামিল হোসেন 12/08/2024 তারিখে ধানমন্ডি, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জামিল হোসেন', 'date': '12/08/2024', 'address': 'ধানমন্ডি, ঢাকা'}"
